Month-Year,All industries  GDP,Province
Jan-97,"1,204,015",Canada
Feb-97,"1,211,631",Canada
Mar-97,"1,211,507",Canada
Apr-97,"1,219,735",Canada
May-97,"1,224,088",Canada
Jun-97,"1,226,403",Canada
Jul-97,"1,239,600",Canada
Aug-97,"1,241,159",Canada
Sep-97,"1,243,280",Canada
Oct-97,"1,248,094",Canada
Nov-97,"1,249,051",Canada
Dec-97,"1,260,377",Canada
Jan-98,"1,255,016",Canada
Feb-98,"1,267,061",Canada
Mar-98,"1,271,561",Canada
Apr-98,"1,272,245",Canada
May-98,"1,269,918",Canada
Jun-98,"1,269,609",Canada
Jul-98,"1,269,215",Canada
Aug-98,"1,281,428",Canada
Sep-98,"1,285,566",Canada
Oct-98,"1,291,404",Canada
Nov-98,"1,294,820",Canada
Dec-98,"1,306,806",Canada
Jan-99,"1,311,198",Canada
Feb-99,"1,317,514",Canada
Mar-99,"1,317,813",Canada
Apr-99,"1,326,760",Canada
May-99,"1,328,976",Canada
Jun-99,"1,338,135",Canada
Jul-99,"1,345,558",Canada
Aug-99,"1,352,460",Canada
Sep-99,"1,361,471",Canada
Oct-99,"1,365,437",Canada
Nov-99,"1,376,768",Canada
Dec-99,"1,385,812",Canada
Jan-00,"1,392,822",Canada
Feb-00,"1,392,966",Canada
Mar-00,"1,404,498",Canada
Apr-00,"1,402,942",Canada
May-00,"1,410,828",Canada
Jun-00,"1,416,025",Canada
Jul-00,"1,419,158",Canada
Aug-00,"1,424,352",Canada
Sep-00,"1,426,901",Canada
Oct-00,"1,429,596",Canada
Nov-00,"1,430,590",Canada
Dec-00,"1,434,192",Canada
Jan-01,"1,434,295",Canada
Feb-01,"1,433,843",Canada
Mar-01,"1,434,685",Canada
Apr-01,"1,433,399",Canada
May-01,"1,439,506",Canada
Jun-01,"1,438,295",Canada
Jul-01,"1,436,172",Canada
Aug-01,"1,440,974",Canada
Sep-01,"1,433,233",Canada
Oct-01,"1,439,780",Canada
Nov-01,"1,449,065",Canada
Dec-01,"1,447,511",Canada
Jan-02,"1,463,177",Canada
Feb-02,"1,471,175",Canada
Mar-02,"1,469,679",Canada
Apr-02,"1,480,103",Canada
May-02,"1,482,323",Canada
Jun-02,"1,483,988",Canada
Jul-02,"1,489,746",Canada
Aug-02,"1,495,281",Canada
Sep-02,"1,491,822",Canada
Oct-02,"1,500,765",Canada
Nov-02,"1,500,000",Canada
Dec-02,"1,495,415",Canada
Jan-03,"1,503,083",Canada
Feb-03,"1,506,922",Canada
Mar-03,"1,505,292",Canada
Apr-03,"1,500,278",Canada
May-03,"1,504,638",Canada
Jun-03,"1,509,059",Canada
Jul-03,"1,516,896",Canada
Aug-03,"1,502,384",Canada
Sep-03,"1,520,964",Canada
Oct-03,"1,527,651",Canada
Nov-03,"1,529,285",Canada
Dec-03,"1,535,717",Canada
Jan-04,"1,538,379",Canada
Feb-04,"1,537,381",Canada
Mar-04,"1,551,047",Canada
Apr-04,"1,554,989",Canada
May-04,"1,556,495",Canada
Jun-04,"1,564,093",Canada
Jul-04,"1,565,550",Canada
Aug-04,"1,572,221",Canada
Sep-04,"1,576,659",Canada
Oct-04,"1,577,208",Canada
Nov-04,"1,583,191",Canada
Dec-04,"1,583,575",Canada
Jan-05,"1,591,349",Canada
Feb-05,"1,592,499",Canada
Mar-05,"1,587,122",Canada
Apr-05,"1,598,907",Canada
May-05,"1,605,776",Canada
Jun-05,"1,610,588",Canada
Jul-05,"1,614,748",Canada
Aug-05,"1,620,834",Canada
Sep-05,"1,622,168",Canada
Oct-05,"1,627,587",Canada
Nov-05,"1,636,455",Canada
Dec-05,"1,645,055",Canada
Jan-06,"1,649,021",Canada
Feb-06,"1,652,615",Canada
Mar-06,"1,656,380",Canada
Apr-06,"1,656,732",Canada
May-06,"1,657,513",Canada
Jun-06,"1,654,837",Canada
Jul-06,"1,657,920",Canada
Aug-06,"1,659,196",Canada
Sep-06,"1,656,876",Canada
Oct-06,"1,659,594",Canada
Nov-06,"1,663,364",Canada
Dec-06,"1,673,956",Canada
Jan-07,"1,670,535",Canada
Feb-07,"1,678,760",Canada
Mar-07,"1,682,294",Canada
Apr-07,"1,684,443",Canada
May-07,"1,691,753",Canada
Jun-07,"1,696,447",Canada
Jul-07,"1,696,013",Canada
Aug-07,"1,700,841",Canada
Sep-07,"1,697,794",Canada
Oct-07,"1,699,351",Canada
Nov-07,"1,700,851",Canada
Dec-07,"1,694,291",Canada
Jan-08,"1,701,279",Canada
Feb-08,"1,698,189",Canada
Mar-08,"1,701,248",Canada
Apr-08,"1,704,814",Canada
May-08,"1,704,784",Canada
Jun-08,"1,708,170",Canada
Jul-08,"1,715,622",Canada
Aug-08,"1,714,295",Canada
Sep-08,"1,714,712",Canada
Oct-08,"1,712,871",Canada
Nov-08,"1,695,651",Canada
Dec-08,"1,672,410",Canada
Jan-09,"1,664,411",Canada
Feb-09,"1,655,773",Canada
Mar-09,"1,642,352",Canada
Apr-09,"1,637,034",Canada
May-09,"1,635,329",Canada
Jun-09,"1,637,232",Canada
Jul-09,"1,639,863",Canada
Aug-09,"1,639,145",Canada
Sep-09,"1,651,417",Canada
Oct-09,"1,653,106",Canada
Nov-09,"1,662,710",Canada
Dec-09,"1,667,429",Canada
Jan-10,"1,677,635",Canada
Feb-10,"1,686,315",Canada
Mar-10,"1,694,468",Canada
Apr-10,"1,692,492",Canada
May-10,"1,700,050",Canada
Jun-10,"1,704,611",Canada
Jul-10,"1,707,189",Canada
Aug-10,"1,712,496",Canada
Sep-10,"1,712,435",Canada
Oct-10,"1,721,370",Canada
Nov-10,"1,729,551",Canada
Dec-10,"1,741,609",Canada
Jan-11,"1,747,291",Canada
Feb-11,"1,744,126",Canada
Mar-11,"1,749,485",Canada
Apr-11,"1,749,674",Canada
May-11,"1,745,781",Canada
Jun-11,"1,753,348",Canada
Jul-11,"1,765,251",Canada
Aug-11,"1,774,000",Canada
Sep-11,"1,778,754",Canada
Oct-11,"1,778,522",Canada
Nov-11,"1,780,501",Canada
Dec-11,"1,789,093",Canada
Jan-12,"1,787,647",Canada
Feb-12,"1,783,169",Canada
Mar-12,"1,787,826",Canada
Apr-12,"1,794,148",Canada
May-12,"1,797,125",Canada
Jun-12,"1,798,133",Canada
Jul-12,"1,801,749",Canada
Aug-12,"1,799,417",Canada
Sep-12,"1,799,218",Canada
Oct-12,"1,798,409",Canada
Nov-12,"1,806,944",Canada
Dec-12,"1,806,713",Canada
Jan-13,"1,816,978",Canada
Feb-13,"1,822,370",Canada
Mar-13,"1,828,635",Canada
Apr-13,"1,831,835",Canada
May-13,"1,836,826",Canada
Jun-13,"1,830,161",Canada
Jul-13,"1,840,718",Canada
Aug-13,"1,848,826",Canada
Sep-13,"1,855,132",Canada
Oct-13,"1,865,193",Canada
Nov-13,"1,869,835",Canada
Dec-13,"1,862,159",Canada
Jan-14,"1,863,035",Canada
Feb-14,"1,872,372",Canada
Mar-14,"1,877,319",Canada
Apr-14,"1,881,089",Canada
May-14,"1,892,936",Canada
Jun-14,"1,901,582",Canada
Jul-14,"1,904,250",Canada
Aug-14,"1,900,262",Canada
Sep-14,"1,907,872",Canada
Oct-14,"1,913,355",Canada
Nov-14,"1,914,614",Canada
Dec-14,"1,917,559",Canada
Jan-15,"1,909,603",Canada
Feb-15,"1,907,049",Canada
Mar-15,"1,905,988",Canada
Apr-15,"1,905,441",Canada
May-15,"1,904,409",Canada
Jun-15,"1,909,593",Canada
Jul-15,"1,914,406",Canada
Aug-15,"1,918,458",Canada
Sep-15,"1,910,530",Canada
Oct-15,"1,912,301",Canada
Nov-15,"1,916,787",Canada
Dec-15,"1,918,886",Canada
Jan-16,"1,930,434",Canada
Feb-16,"1,924,854",Canada
Mar-16,"1,917,766",Canada
Apr-16,"1,922,103",Canada
May-16,"1,911,266",Canada
Jun-16,"1,920,490",Canada
Jul-16,"1,931,887",Canada
Aug-16,"1,936,423",Canada
Sep-16,"1,941,422",Canada
Oct-16,"1,940,404",Canada
Nov-16,"1,947,701",Canada
Dec-16,"1,953,152",Canada
Jan-17,"1,962,254",Canada
Feb-17,"1,969,304",Canada
Mar-17,"1,978,060",Canada
Apr-17,"1,987,668",Canada
May-17,"1,992,055",Canada
Jun-17,"1,996,878",Canada
Jul-17,"1,996,019",Canada
Aug-17,"1,994,122",Canada
Sep-17,"1,999,220",Canada
Oct-17,"1,999,518",Canada
Nov-17,"2,008,970",Canada
Dec-17,"2,014,340",Canada
Jan-18,"2,020,721",Canada
Feb-18,"2,031,403",Canada
Mar-18,"2,039,914",Canada
Apr-18,"2,040,275",Canada
May-18,"2,047,718",Canada
Jun-18,"2,050,188",Canada
Jul-18,"2,054,500",Canada
Aug-18,"2,056,138",Canada
Sep-18,"2,059,567",Canada
Oct-18,"2,063,118",Canada
Nov-18,"2,059,427",Canada
Dec-18,"2,062,691",Canada
Jan-19,"2,067,478",Canada
Feb-19,"2,061,962",Canada
Mar-19,"2,073,732",Canada
Apr-19,"2,086,598",Canada
May-19,"2,092,359",Canada
Jun-19,"2,096,319",Canada
Jul-19,"2,097,225",Canada
Aug-19,"2,097,381",Canada
Sep-19,"2,098,372",Canada
Oct-19,"2,099,541",Canada
Nov-19,"2,099,164",Canada
Dec-19,"2,109,773",Canada
Jan-20,"2,114,210",Canada
Feb-20,"2,118,330",Canada
Mar-20,"1,959,569",Canada
Apr-20,"1,749,376",Canada
May-20,"1,829,021",Canada
Jun-20,"1,935,578",Canada
Jul-20,"1,985,603",Canada
Aug-20,"2,004,911",Canada
Sep-20,"2,023,883",Canada
Oct-20,"2,035,550",Canada
Nov-20,"2,049,508",Canada
Dec-20,"2,052,921",Canada
Jan-21,"2,061,870",Canada
Feb-21,"2,065,797",Canada
Mar-21,"2,088,503",Canada
Apr-21,"2,067,190",Canada
May-21,"2,058,230",Canada
Jun-21,"2,076,121",Canada
Jul-21,"2,089,072",Canada
Aug-21,"2,105,441",Canada
Sep-21,"2,111,870",Canada
Oct-21,"2,127,417",Canada
Nov-21,"2,137,002",Canada
Dec-21,"2,140,435",Canada
Jan-22,"2,138,449",Canada
Feb-22,"2,154,659",Canada
Mar-22,"2,169,435",Canada
Apr-22,"2,167,945",Canada
May-22,"2,173,925",Canada
Jun-22,"2,179,345",Canada
Jul-22,"2,180,920",Canada
Aug-22,"2,187,444",Canada
Sep-22,"2,191,747",Canada
Oct-22,"2,187,842",Canada
Nov-22,"2,187,964",Canada
Dec-22,"2,181,765",Canada
Jan-23,"2,197,587",Canada
Feb-23,"2,199,531",Canada
Mar-23,"2,203,730",Canada
Apr-23,"2,200,886",Canada
May-23,"2,205,119",Canada
Jun-23,"2,201,879",Canada
Jul-23,"2,200,895",Canada
Aug-23,"2,201,840",Canada
Sep-23,"2,200,333",Canada
Oct-23,"2,201,569",Canada
Nov-23,"2,205,461",Canada
Dec-23,"2,202,726",Canada
Jan-24,"2,213,866",Canada
Feb-24,"2,219,098",Canada
Mar-24,"2,218,353",Canada
Apr-24,"2,225,966",Canada
May-24,"2,229,438",Canada